"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Eco News","1","0","TC-07 Cancel confirmation","0"
"0","","0","Eco News","1","0","TC-02 Title validation","0"
"0","","0","Eco News","1","0","TC-04 Image upload validation","0"
"0","","0","Eco News","1","0","TC-03 Tags selection","0"
"0","","0","Eco News","1","0","TC-09 Edit news button","0"
"0","","0","Eco News","1","0","TC-05 Main Text validation","0"
"0","","0","Eco News","1","0","TC-06 Source validation","0"
"0","","0","Eco News","1","0","TC-08 News preview","0"
"0","","0","","1","0","","0"
"0","","0","Eco News","1","0","TC-01 Create News form structure","0"
"0","","0","Eco News","1","0","TC-10 Edit news","0"
