"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10398","should validate optional source URL","chromium","2026-05-30","passed","2026-05-30","TC-06: Source field validation","","",""
"","6559","should display preview with entered title and content","chromium","2026-05-30","passed","2026-05-30","TC-08: News preview","","",""
"","8049","should show Edit news button for news author","chromium","2026-05-30","passed","2026-05-30","TC-09: Edit news button visibility","","",""
"","8195","should validate main text length and publishing","chromium","2026-05-30","passed","2026-05-30","TC-05: Main Text validation","","",""
"","6541","authenticate and save session","setup","2026-05-30","passed","2026-05-30","","","",""
"","6800","should display all required fields in correct order","chromium","2026-05-30","passed","2026-05-30","TC-01: Create News form fields","","",""
"","9797","should update news and keep original creation date","chromium","2026-05-30","passed","2026-05-30","TC-10: Edit own news","","",""
"","6679","should validate title length and enable Publish only when form is valid","chromium","2026-05-30","passed","2026-05-30","TC-02: Title field validation","","",""
"","10449","should accept valid PNG and reject invalid format or size","chromium","2026-05-30","passed","2026-05-30","TC-04: Upload Image validation","","",""
"","7418","should show confirmation modal and handle cancel actions","chromium","2026-05-30","passed","2026-05-30","TC-07: Cancel confirmation modal","","",""
"","9111","should allow selecting 1 to 3 tags and block a fourth tag","chromium","2026-05-30","passed","2026-05-30","TC-03: Tags selection","","",""
